ID,site,hhedu,hhhage,hhhsex,hhethnic,hhsize,u05,povline,windex3,windex5,FS_score,FS
13428,viwandani,secondary,27,male,Luo,4,2,yes,highest,highest,2,Moderately insecure
13432,viwandani,primary,44,female,Kikuyu,2,0,no_(2),middle,middle,2,Moderately insecure
13433,korogocho,primary,29,male,Luhya,3,1,no_(2),middle,fourth,0,Secure
13434,viwandani,secondary,43,male,Kikuyu,1,0,no_(2),highest,fourth,0,Secure
13436,korogocho,never attended,33,female,Kikuyu,5,1,yes,highest,highest,3,Severely insecure
13437,korogocho,primary,35,male,Other,5,1,yes,lowest,lowest,3,Severely insecure
13438,viwandani,primary,49,male,Luhya,2,0,no_(2),lowest,second,0,Secure
13440,korogocho,primary,20,male,Kikuyu,3,1,no_(2),highest,highest,3,Severely insecure
13441,viwandani,primary,29,male,Kamba,2,0,no_(2),middle,fourth,0,Secure
13443,viwandani,primary,43,male,Kamba,1,0,no_(2),lowest,second,0,Secure
13444,viwandani,secondary,56,male,Kamba,1,0,no_(2),highest,fourth,2,Moderately insecure
13446,korogocho,secondary,35,male,Kikuyu,1,0,no_(2),lowest,lowest,1,Moderately insecure
13449,viwandani,primary,36,male,Kamba,2,0,no_(2),middle,second,2,Moderately insecure
13451,viwandani,primary,66,male,Kamba,3,0,no_(2),lowest,lowest,2,Moderately insecure
13452,viwandani,primary,34,female,Kikuyu,5,0,no_(2),highest,fourth,1,Moderately insecure
13453,viwandani,secondary,39,male,Kikuyu,1,0,no_(2),lowest,second,2,Moderately insecure
13454,viwandani,primary,43,male,Kikuyu,4,1,yes,highest,fourth,2,Moderately insecure
13456,viwandani,secondary,27,female,Kamba,2,0,no_(2),lowest,lowest,2,Moderately insecure
13457,viwandani,secondary,24,male,Kamba,2,0,no_(2),lowest,second,2,Moderately insecure
13458,korogocho,primary,31,male,Luo,5,0,yes,highest,fourth,3,Severely insecure
13459,viwandani,secondary,39,male,Kamba,5,2,no_(2),middle,middle,3,Severely insecure
13460,viwandani,primary,39,female,Luhya,5,0,no_(2),highest,highest,0,Secure
13461,korogocho,primary,50,male,Luo,5,0,yes,highest,highest,3,Severely insecure
13462,korogocho,primary,42,female,Luhya,4,0,no_(2),highest,highest,3,Severely insecure
